iter	Passed	Remaining
838	1584	304
839	1586	302
840	1588	300
841	1590	298
842	1592	296
843	1593	294
844	1595	292
845	1598	290
846	1599	288
847	1601	287
848	1603	285
849	1605	283
850	1607	281
851	1609	279
852	1610	277
853	1612	275
854	1614	273
855	1616	271
856	1618	270
857	1619	268
858	1621	266
859	1623	264
860	1625	262
861	1627	260
862	1629	258
863	1631	256
864	1633	254
865	1635	252
866	1637	251
867	1638	249
868	1640	247
869	1642	245
870	1644	243
871	1646	241
872	1648	239
873	1650	237
874	1652	236
875	1654	234
876	1656	232
877	1658	230
878	1659	228
879	1661	226
880	1663	224
881	1665	222
882	1667	220
883	1669	219
884	1671	217
885	1672	215
886	1674	213
887	1676	211
888	1678	209
889	1680	207
890	1682	205
891	1684	203
892	1686	202
893	1688	200
894	1690	198
895	1692	196
896	1694	194
897	1696	192
898	1697	190
899	1699	188
900	1701	186
901	1703	185
902	1705	183
903	1706	181
904	1708	179
905	1710	177
906	1713	175
907	1714	173
908	1716	171
909	1718	169
910	1720	168
911	1722	166
912	1723	164
913	1725	162
914	1727	160
915	1729	158
916	1731	156
917	1733	154
918	1734	152
919	1736	151
920	1738	149
921	1739	147
922	1741	145
923	1743	143
924	1746	141
925	1749	139
926	1752	137
927	1754	136
928	1756	134
929	1759	132
930	1761	130
931	1762	128
932	1764	126
933	1766	124
934	1768	122
935	1770	121
936	1772	119
937	1774	117
938	1778	115
939	1781	113
940	1783	111
941	1786	110
942	1789	108
943	1792	106
944	1794	104
945	1797	102
946	1800	100
947	1803	98
948	1805	97
949	1808	95
950	1810	93
951	1813	91
952	1815	89
953	1818	87
954	1821	85
955	1823	83
956	1826	82
957	1829	80
958	1831	78
959	1834	76
960	1837	74
961	1840	72
962	1842	70
963	1845	68
964	1848	67
965	1850	65
966	1853	63
967	1855	61
968	1857	59
969	1859	57
970	1861	55
971	1864	53
972	1866	51
973	1869	49
974	1872	48
975	1875	46
976	1877	44
977	1880	42
978	1883	40
979	1886	38
980	1888	36
981	1892	34
982	1895	32
983	1898	30
984	1901	28
985	1903	27
986	1906	25
987	1908	23
988	1910	21
989	1912	19
990	1914	17
991	1916	15
992	1917	13
993	1919	11
994	1921	9
995	1923	7
996	1925	5
997	1927	3
998	1929	1
999	1930	0
